k,frequency_hz,first_window_real,first_window_imag,first_window_power,power_sum_156,log_q12,mean_q12,gain_q24,normalization_product,feature_int8,weight_int8,product,score_after_bin
293,4578.125,-5549,-17791,1356684,719603202,-7632,-2256,60040,-322775040,-19,-9,171,11660
294,4593.75,3608,18304,1359586,555134898,-9168,-2484,58917,-393801228,-23,-6,138,11798
295,4609.375,7714,-1080,237001,474463756,-10094,-2775,59366,-434499754,-26,-5,130,11928
296,4625.0,-32563,-910,4145223,848649028,-6658,-2923,60515,-226023525,-13,-1,13,11941
297,4640.625,52699,-23061,12925759,840312015,-6716,-2844,60626,-234743872,-14,-3,42,11983
298,4656.25,-27052,24098,5127048,870234492,-6510,-2603,60629,-236877503,-14,4,-56,11927
299,4671.875,2794,-29209,3363172,792670983,-7062,-2738,59370,-256715880,-15,6,-90,11837
300,4687.5,-5133,32897,4330314,839466000,-6720,-3138,59360,-212627520,-13,8,-104,11733
301,4703.125,801,-6740,179958,770317278,-7229,-3211,58941,-236824938,-14,4,-56,11677
302,4718.75,-3789,-13714,790743,841922675,-6705,-3057,57448,-209570304,-12,12,-144,11533
303,4734.375,10409,19412,1895207,583433147,-8874,-3108,58140,-335235240,-20,15,-300,11233
304,4750.0,976,-20621,1664759,477101311,-10062,-3544,58093,-378650174,-23,5,-115,11118
305,4765.625,-5514,21927,1996865,563695044,-9074,-3805,56650,-298488850,-18,2,-36,11082
306,4781.25,-8898,-16889,1423487,571123941,-8997,-3785,56110,-292445320,-17,-1,17,11099
307,4796.875,4810,13822,836655,569953509,-9008,-3796,58223,-303458276,-18,-5,90,11189
308,4812.5,15903,-7160,1188168,716955422,-7654,-3715,60028,-236450292,-14,-6,84,11273
309,4828.125,-4566,22695,2093404,807048892,-6953,-3515,60032,-206390016,-12,-10,120,11393
310,4843.75,-9408,-57008,13040713,591459700,-8789,-3303,60335,-330997810,-20,6,-120,11273
311,4859.375,-11199,22396,2449213,581809734,-8890,-3167,61350,-351106050,-21,9,-189,11084
312,4875.0,20737,51257,11942591,501871638,-9761,-3201,60738,-398441280,-24,10,-240,10844
313,4890.625,-813,-48472,9180452,549235074,-9230,-3485,59977,-344567865,-21,14,-294,10550
314,4906.25,-18139,3537,1334116,645534218,-8273,-3634,59292,-275055588,-16,-2,32,10582
315,4921.875,29049,17132,4442773,647344188,-8259,-3817,58742,-260931964,-16,-1,16,10598
316,4937.5,-38263,-19501,7204477,754002959,-7355,-3933,56602,-193692044,-12,-3,36,10634
317,4953.125,19520,333,1488833,577399963,-8933,-4018,56517,-277781055,-17,-2,34,10668
318,4968.75,15694,7736,1195888,568169299,-9030,-3958,58026,-294307872,-18,8,-144,10524
319,4984.375,-14686,-1078,847034,853735948,-6621,-3684,59151,-173726487,-10,8,-80,10444
320,5000.0,19821,1025,1538760,778269998,-7169,-3699,59011,-204768170,-12,9,-108,10336
321,5015.625,-21763,3697,1903500,597261285,-8732,-3643,59170,-301116130,-18,-2,36,10372
322,5031.25,-12373,-9788,972250,676224760,-8001,-3622,59685,-261360615,-16,-3,48,10420
323,5046.875,30236,13024,4233751,837068866,-6739,-3607,57531,-180187092,-11,-9,99,10519
324,5062.5,-26994,-19060,4265467,951774641,-5979,-3459,55412,-139638240,-8,-10,80,10599
325,5078.125,22201,20592,3581699,876300604,-6467,-3422,54510,-165982950,-10,5,-50,10549
326,5093.75,-19473,1889,1495180,1135391438,-4939,-3538,54359,-76156959,-5,13,-65,10484
327,5109.375,8716,-13099,967002,1412284515,-3649,-3699,54343,2717150,0,5,0,10484
328,5125.0,3186,3177,79078,601686676,-8691,-3837,53737,-260839398,-16,-3,48,10532
329,5140.625,-6282,10614,594221,467501983,-10180,-3878,52147,-328630394,-20,-11,220,10752
330,5156.25,-3652,-26539,2803342,553294818,-9185,-4141,51980,-262187120,-16,-3,48,10800
331,5171.875,7085,20864,1896499,555373299,-9162,-4504,52873,-246282434,-15,6,-90,10710
332,5187.5,-8679,-527,295323,519803699,-9555,-4790,54325,-258858625,-15,16,-240,10470
333,5203.125,19155,-14818,2290965,584073892,-8863,-4916,55695,-219828165,-13,8,-104,10366
334,5218.75,-15413,15280,1839996,889037556,-6383,-4988,56699,-79095105,-5,4,-20,10346
335,5234.375,-3740,-17025,1186868,763222755,-7285,-5105,57480,-125306400,-7,5,-35,10311
336,5250.0,12184,8657,872631,829701963,-6791,-5203,56639,-89942732,-5,10,-50,10261
337,5265.625,-2957,-303,34514,1081354730,-5225,-5083,56432,-8013344,0,9,0,10261
338,5281.25,-6388,7064,354323,954959803,-5959,-4977,56054,-55045028,-3,6,-18,10243
339,5296.875,11652,-7285,737658,589741611,-8810,-4835,56384,-224126400,-13,-5,65,10308
340,5312.5,-9688,-79,366655,580374803,-8906,-4438,57855,-258496140,-15,-7,105,10413
341,5328.125,5581,-1111,126492,406482177,-11007,-4024,56476,-394371908,-24,-4,96,10509
342,5343.75,-1944,11811,559683,461550004,-10257,-3945,55892,-352790304,-21,-7,147,10656
343,5359.375,-3885,-19870,1601211,479088730,-10036,-4176,55945,-327837700,-20,-3,60,10716
344,5375.0,3300,18646,1400638,367836588,-11596,-4379,55026,-397122642,-24,9,-216,10500
345,5390.625,1587,-14634,846377,545128238,-9275,-4698,54740,-250544980,-15,10,-150,10350
346,5406.25,-757,9444,350634,638720710,-8336,-4864,55649,-193213328,-12,5,-60,10290
347,5421.875,-7969,-660,249768,460468110,-10270,-4993,55883,-294894591,-18,-3,54,10344
348,5437.5,18057,2101,1290896,424521817,-10750,-5131,55004,-309067476,-18,-10,180,10524
349,5453.125,-11187,-9438,836816,631306639,-8404,-5192,54307,-174434084,-10,-2,20,10544
350,5468.75,-2631,12704,657476,503124987,-9745,-5274,54689,-244514519,-15,-4,60,10604
351,5484.375,9148,-9245,660765,382156833,-11373,-5337,54212,-327223632,-20,-9,180,10784
352,5500.0,-11778,-6139,689096,266480542,-13500,-5475,56301,-451815525,-27,-1,27,10811
353,5515.625,18427,15767,2297471,852431530,-6632,-5455,56306,-66272162,-4,9,-36,10775
354,5531.25,-20934,-14368,2518249,946419644,-6011,-5521,55691,-27288590,-2,8,-16,10759
355,5546.875,8471,12900,930343,721955329,-7611,-5421,55775,-122147250,-7,4,-28,10731
356,5562.5,-1119,-5970,144114,509603584,-9672,-5641,55993,-225707783,-13,-3,39,10770
357,5578.125,-844,6120,149089,580688979,-8900,-5888,55800,-168069600,-10,-7,70,10840
358,5593.75,-746,2570,27974,1151945108,-4853,-5733,54140,47643200,3,1,3,10843
359,5609.375,2090,-23888,2246112,561322658,-9101,-5702,54013,-183590187,-11,3,-33,10810
360,5625.0,3214,20983,1760219,668452771,-8070,-5720,55161,-129628350,-8,5,-40,10770
361,5640.625,2677,-2532,53037,624806607,-8468,-5709,55228,-152374052,-9,2,-18,10752
362,5656.25,773,179,2459,576148044,-8949,-5573,52681,-177851056,-11,0,0,10752
363,5671.875,-15277,-2950,945661,402498119,-11065,-5511,51993,-288769122,-17,-7,119,10871
364,5687.5,21104,2920,1773067,398963664,-11119,-5610,52557,-289536513,-17,-3,51,10922
365,5703.125,-26914,4836,2920900,466845178,-10190,-5767,52191,-230840793,-14,3,-42,10880
366,5718.75,37961,-12123,6203143,429380741,-10685,-6132,52308,-238158324,-14,17,-238,10642
367,5734.375,-26043,8088,2904897,579834079,-8911,-6396,52808,-132812120,-8,12,-96,10546
368,5750.0,-7069,10823,652766,516086212,-9596,-6636,52487,-155361520,-9,1,-9,10537
369,5765.625,20972,-19899,3264824,633890419,-8380,-6760,52497,-85045140,-5,-5,25,10562
370,5781.25,-16611,5309,1187933,562478619,-9090,-6766,52385,-121742740,-7,0,0,10562
371,5796.875,258,-1150,5426,595494000,-8753,-6850,54335,-103399505,-6,0,0,10562
372,5812.5,1600,-1524,19073,488375298,-9920,-6793,55614,-173904978,-10,-3,30,10592
373,5828.125,8102,7466,474155,276492701,-13286,-6820,54982,-355513612,-21,1,-21,10571
374,5843.75,-988,-4861,96115,558423235,-9129,-7060,54119,-111972211,-7,-4,28,10599
375,5859.375,-1424,4834,99201,451327577,-10389,-7426,54181,-160538303,-10,-13,130,10729
376,5875.0,4011,4222,132474,354642210,-11815,-7384,54117,-239792427,-14,-16,224,10953
377,5890.625,-6764,-25689,2756549,319782747,-12427,-7343,53780,-273417520,-16,-10,160,11113
378,5906.25,-8775,26344,3011746,611334654,-8594,-7449,54801,-62747145,-4,-3,12,11125
379,5921.875,9214,-2485,355754,689797489,-7883,-7568,55204,-17389260,-1,4,-4,11121
380,5937.5,18583,-19629,2854006,708912570,-7719,-7536,54574,-9987042,-1,3,-3,11118
381,5953.125,-27704,17368,4176402,670940973,-8047,-7498,53493,-29367657,-2,5,-10,11108
382,5968.75,7981,-5513,367537,671686947,-8038,-7257,54138,-42281778,-3,-1,3,11111
383,5984.375,-4263,2576,96910,608336429,-8624,-7234,54743,-76092770,-5,-12,60,11171
384,6000.0,16711,-551,1092036,387083104,-11296,-7262,54342,-219215628,-13,-9,117,11288
385,6015.625,-12530,-17914,1866845,279252005,-13225,-7333,52513,-309406596,-18,-5,90,11378
386,6031.25,-1356,27702,3004842,296560203,-12870,-7252,52308,-293866344,-18,-11,198,11576
387,6046.875,-2708,-9977,417476,292153876,-12959,-6792,53975,-332863825,-20,-3,60,11636
388,6062.5,8559,-5774,416389,239246639,-14138,-5588,48758,-416880900,-25,11,-275,11361
389,6078.125,-2747,6856,213089,220059705,-14634,-4357,41411,-425580847,-25,6,-150,11211
390,6093.75,-11976,-3803,616748,205883484,-15028,-3430,40598,-470855604,-28,13,-364,10847
391,6109.375,26244,1660,2701184,207347140,-14986,-2898,40220,-486179360,-29,17,-493,10354
392,6125.0,-22733,1056,2023064,301116493,-12782,-3158,40942,-394025808,-23,10,-230,10124
393,6140.625,8049,-580,254386,303232288,-12741,-3830,42841,-381756151,-23,1,-23,10101
394,6156.25,-193,-5889,135616,378953583,-11422,-4711,45885,-307934235,-18,-1,18,10119
395,6171.875,247,4206,69342,347420338,-11934,-5325,46792,-309248328,-18,-3,54,10173
396,6187.5,2702,11473,542697,303972953,-12725,-5616,45778,-325435802,-19,1,-19,10154
397,6203.125,-3908,-9737,430006,496374311,-9826,-5802,45832,-184427968,-11,11,-121,10033
398,6218.75,3887,-2325,80134,550616852,-9213,-6000,45051,-144748863,-9,18,-162,9871
399,6234.375,-4887,693,95168,361446996,-11702,-5918,42014,-243008976,-14,7,-98,9773
400,6250.0,6065,-1744,155569,518896256,-9564,-5774,40815,-154688850,-9,1,-9,9764
401,6265.625,-3978,7605,287736,360054648,-11724,-5982,40169,-230650398,-14,-2,28,9792
402,6281.25,-2123,-4941,112971,452773895,-10368,-5906,39131,-174602522,-10,-3,30,9822
403,6296.875,-4951,1343,102797,431768993,-10649,-5692,37786,-187305202,-11,-2,22,9844
404,6312.5,16302,-7710,1270310,340562943,-12051,-5874,37297,-230383569,-14,-3,42,9886
405,6328.125,-4997,5550,217861,233131210,-14292,-5961,37650,-313662150,-19,-4,76,9962
406,6343.75,-9150,5504,445377,224658904,-14509,-5964,37898,-323838410,-19,3,-57,9905
407,6359.375,12503,-11338,1112794,267785999,-13471,-5960,36537,-274429407,-16,-3,48,9953
408,6375.0,-11561,17598,1731822,282255830,-13164,-5894,35505,-258121350,-15,-5,75,10028
409,6390.625,7121,-24762,2593224,206632546,-15005,-5918,35828,-325569036,-19,-6,114,10142
410,6406.25,4240,21873,1939085,209904798,-14912,-6253,36845,-319040855,-19,-5,95,10237
411,6421.875,-9145,-5424,441605,269828114,-13428,-6468,37481,-260867760,-16,8,-128,10109
412,6437.5,-525,-2282,21419,195327086,-15337,-6679,37433,-324094914,-19,10,-190,9919
413,6453.125,1891,1871,27643,273065911,-13360,-6913,37822,-243838434,-15,-1,15,9934
414,6468.75,5448,-1835,129093,253957124,-13786,-7132,39325,-261668550,-16,-3,48,9982
415,6484.375,299,4554,81361,176570834,-15933,-7354,40521,-347629659,-21,-4,84,10066
416,6500.0,-10756,-4067,516531,187598779,-15575,-7464,40567,-329038937,-20,-4,80,10146
417,6515.625,3900,-3776,115110,138641225,-17366,-7605,40007,-390508327,-23,-5,115,10261
418,6531.25,-2056,10212,423875,216668904,-14723,-7792,41297,-286229507,-17,-2,34,10295
419,6546.875,3305,-8810,345856,126924198,-17885,-7911,42523,-424124402,-25,2,-50,10245
420,6562.5,-1962,4176,83158,173485829,-16039,-7849,42079,-344627010,-21,2,-42,10203
421,6578.125,8144,-3117,297033,215706684,-14752,-7701,41252,-290867852,-17,-3,51,10254
422,6593.75,-4895,7211,296717,323952192,-12350,-7782,41154,-187991472,-11,-1,11,10265
423,6609.375,-570,-8718,298158,283536597,-13137,-8072,41777,-211600505,-13,-1,13,10278
424,6625.0,3818,2824,88094,332857063,-12189,-8213,42620,-169457120,-10,-2,20,10298
425,6640.625,-6040,6602,312766,313199714,-12549,-8429,42753,-176142360,-10,-1,10,10308
426,6656.25,2311,-14662,860605,201215080,-15161,-8659,43249,-281204998,-17,1,-17,10291
427,6671.875,720,8747,300892,228229492,-14417,-8922,43666,-239944670,-14,8,-112,10179
428,6687.5,4150,-4206,136379,285452197,-13099,-9118,45093,-179515233,-11,8,-88,10091
429,6703.125,-2031,2772,46129,231120881,-14342,-9134,45939,-239250312,-14,-2,28,10119
430,6718.75,-1704,6432,172946,182691784,-15734,-9164,46980,-308658600,-18,2,-36,10083
431,6734.375,-691,-9931,387118,255056110,-13762,-9189,47885,-218978105,-13,9,-117,9966
432,6750.0,-1580,-3844,67472,338987497,-12079,-9250,48211,-136388919,-8,14,-112,9854
433,6765.625,3078,7948,283769,257769311,-13698,-9360,48429,-210085002,-13,6,-78,9776
434,6781.25,855,5848,136446,152220433,-16811,-9359,47278,-352315656,-21,5,-105,9671
435,6796.875,-7342,-14511,1033102,161316837,-16470,-9379,46418,-329150038,-20,6,-120,9551
436,6812.5,5841,11693,667358,147547114,-16997,-9390,45465,-345852255,-21,-1,21,9572
437,6828.125,-651,-3010,37046,107954797,-18841,-9348,44723,-424555439,-25,-3,75,9647
438,6843.75,1708,3476,58593,119645188,-18234,-9323,44500,-396539500,-24,2,-48,9599
439,6859.375,-4954,-10738,546276,151501161,-16842,-9344,45248,-339269504,-20,-2,40,9639
440,6875.0,2167,9747,389453,204198161,-15077,-9383,45531,-259253514,-15,2,-30,9609
441,6890.625,3312,-4536,123221,115464493,-18445,-9395,44584,-403485200,-24,1,-24,9585
442,6906.25,-2319,6278,174965,95245042,-19581,-9469,44413,-449104256,-27,-2,54,9639
443,6921.875,-5532,-1768,131753,142893329,-17184,-9665,44841,-337159479,-20,-3,60,9699
444,6937.5,2853,-5821,164155,139550729,-17327,-9905,45113,-334828686,-20,-1,20,9719
445,6953.125,1638,5714,138019,97238275,-19460,-9933,45195,-430572765,-26,6,-156,9563
446,6968.75,-3777,-5698,182551,108595151,-18805,-9722,44778,-406718574,-24,15,-360,9203
447,6984.375,5493,5775,248139,121236533,-18157,-9687,44464,-376610080,-22,14,-308,8895
448,7000.0,-8745,-2159,316939,97637587,-19437,-10007,45116,-425443880,-25,6,-150,8745
449,7015.625,8901,174,309602,88580677,-20011,-10170,44843,-441299963,-26,-2,52,8797
450,7031.25,-690,-2378,23949,89804761,-19929,-10161,44743,-437049624,-26,-3,78,8875
451,7046.875,-2675,3744,82708,84825177,-20266,-10168,43452,-438778296,-26,0,0,8875
452,7062.5,-3702,-5006,151425,78760509,-20707,-10336,43326,-449333946,-27,4,-108,8767
453,7078.125,8560,3345,329932,80278295,-20595,-10365,43410,-444084300,-26,7,-182,8585
454,7093.75,1823,601,14393,77760669,-20781,-10410,43141,-447415311,-27,3,-81,8504
455,7109.375,-3372,-6750,222394,90825534,-19864,-10262,42612,-409160424,-24,-6,144,8648
456,7125.0,-4746,10521,520375,78576711,-20722,-10268,42645,-445810830,-27,-9,243,8891
457,7140.625,7695,-4035,294899,91614499,-19814,-10273,42892,-409232572,-24,1,-24,8867
458,7156.25,-642,12,1611,95912327,-19541,-10325,42227,-389164032,-23,0,0,8867
459,7171.875,-8905,-1364,317029,70594517,-21351,-10458,41057,-447233901,-27,-3,81,8948
460,7187.5,8314,-479,270906,65490582,-21795,-10363,39937,-456559784,-27,2,-54,8894
461,7203.125,-4609,5387,196338,103065465,-19116,-10242,40100,-355847400,-21,3,-63,8831
462,7218.75,-3646,-7550,274593,93416119,-19696,-10146,39827,-380347850,-23,4,-92,8739
463,7234.375,5485,-100,117559,111209240,-18667,-10166,39469,-335525969,-20,5,-100,8639
464,7250.0,-3385,6822,226554,81583979,-20499,-10319,39525,-402364500,-24,-2,48,8687
465,7265.625,6888,-3936,245846,93646919,-19684,-10097,39275,-376529425,-22,-5,110,8797
466,7281.25,-3139,-1780,50866,89032874,-19981,-9977,38823,-388385292,-23,-10,230,9027
467,7296.875,52,-915,3281,85735077,-20203,-9994,38914,-397273026,-24,-11,264,9291
468,7312.5,2280,3816,77188,69295983,-21462,-10117,38857,-440832665,-26,2,-52,9239
469,7328.125,-7807,-594,239461,64566983,-21878,-10155,39101,-458381023,-27,-3,81,9320
470,7343.75,11446,585,513098,91246368,-19835,-10049,38556,-377309016,-22,5,-110,9210
471,7359.375,-5699,819,129490,135991361,-17478,-9933,37906,-286000770,-17,9,-153,9057
472,7375.0,1591,-962,13503,108276682,-18823,-9776,36831,-333210057,-20,-4,80,9137
473,7390.625,1647,1039,14813,142881736,-17184,-9881,36788,-268662764,-16,-1,16,9153
474,7406.25,-6993,-3920,251049,192921268,-15413,-9961,36935,-201369620,-12,5,-60,9093
475,7421.875,3269,9065,362737,204685106,-15062,-9828,37432,-195919088,-12,5,-60,9033
476,7437.5,3548,-10143,451050,149786512,-16909,-9828,37448,-265169288,-16,0,0,9033
477,7453.125,-6216,4891,244377,86720772,-20135,-10157,38345,-382606410,-23,-4,92,9125
478,7468.75,6933,-803,190279,98010444,-19413,-10248,38410,-352027650,-21,-1,21,9146
479,7484.375,-6234,-364,152325,83649867,-20349,-10298,38831,-390290381,-23,-8,184,9330
480,7500.0,935,-5675,129218,131842278,-17661,-10260,38594,-285634194,-17,-2,34,9364
481,7515.625,-214,6109,145960,184763812,-15667,-10120,38047,-211046709,-13,-3,39,9403
482,7531.25,945,1446,11656,112448433,-18602,-10253,38195,-318890055,-19,-9,171,9574
483,7546.875,3298,-2374,64503,215258194,-14763,-10499,39377,-167903528,-10,-7,70,9644
484,7562.5,-5035,-1857,112499,253753916,-13792,-10692,39451,-122298100,-7,-5,35,9679
485,7578.125,836,6394,162430,157098356,-16626,-10650,40203,-240253128,-14,2,-28,9651
486,7593.75,6235,-7543,374110,105617547,-18971,-10917,41115,-331140210,-20,6,-120,9531
487,7609.375,-4472,2328,99290,95065506,-19593,-11384,41753,-342750377,-20,-8,160,9691
488,7625.0,-3007,1314,42065,108348237,-18819,-11660,41666,-298286894,-18,-15,270,9961
489,7640.625,1921,857,17284,180191550,-15816,-12053,42276,-159084588,-9,-13,117,10078
490,7656.25,-252,1457,8540,215087321,-14770,-12315,43022,-105619010,-6,-9,54,10132
491,7671.875,5528,686,121209,196198714,-15313,-12377,42738,-125478768,-7,-7,49,10181
492,7687.5,-6253,-4803,242847,158974317,-16557,-12558,41701,-166762299,-10,-8,80,10261
493,7703.125,-425,1203,6359,137987699,-17394,-12897,42558,-191383326,-11,0,0,10261
494,7718.75,-1399,1402,15323,206168498,-15020,-13209,43055,-77972605,-5,13,-65,10196
495,7734.375,3626,32,51363,119220177,-18254,-13564,43553,-204263570,-12,2,-24,10172
496,7750.0,-4560,-1080,85781,143310484,-17168,-13838,42854,-142703820,-9,4,-36,10136
497,7765.625,3643,-1588,61692,196531582,-15301,-14098,43384,-52190952,-3,13,-39,10097
498,7781.25,-1878,3147,52463,82984548,-20395,-14420,44400,-265290000,-16,15,-240,9857
499,7796.875,-1347,-1699,18363,146694736,-17029,-14588,44901,-109603341,-7,5,-35,9822
500,7812.5,6292,-1728,166310,177117900,-15915,-14976,45186,-42429654,-3,-1,3,9825
501,7828.125,-9100,1193,329036,107645900,-18859,-15420,44094,-151639266,-9,13,-117,9708
502,7843.75,3836,817,60087,101927891,-19180,-15557,42044,-152325412,-9,17,-153,9555
503,7859.375,-308,-3938,60948,99422458,-19327,-15592,39298,-146778030,-9,6,-54,9501
504,7875.0,1784,4622,95881,82190092,-20452,-15888,38563,-176001532,-10,-3,30,9531
505,7890.625,-1245,-498,7024,75468014,-20958,-16225,38853,-183891249,-11,-1,11,9542
506,7906.25,410,-435,1396,59424606,-22369,-16568,39300,-227979300,-14,-2,28,9570
507,7921.875,4975,3532,145413,40175829,-24681,-17034,39886,-305008242,-18,-1,18,9588
508,7937.5,-4385,-6949,263738,46501657,-23817,-17337,40173,-260321040,-16,8,-128,9460
509,7953.125,3140,3516,86804,66956418,-21663,-17486,39345,-164344065,-10,4,-40,9420
510,7968.75,1804,507,13717,84827123,-20266,-17543,38533,-104925359,-6,-2,12,9432
511,7984.375,-5440,-2260,135552,68512682,-21529,-17582,38779,-153060713,-9,-6,54,9486
512,8000.0,3456,0,46656,39194622,-24827,-17620,38878,-280193746,-17,-8,136,9622
